============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 50731 deselected / 360 selected

test_allclose.py::test_allclose[1-False-dtype2-shape3] PASSED
test_allclose.py::test_allclose[1-False-dtype2-shape4] PASSED
test_allclose.py::test_allclose[1-False-dtype2-shape5] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape0] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape1] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape2] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape3] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape4] PASSED
test_allclose.py::test_allclose[1-False-dtype3-shape5] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape0] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape1] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape2] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape3] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape4] PASSED
test_allclose.py::test_allclose[1-False-dtype4-shape5] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape0] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape1] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape2] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape3] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape4] PASSED
test_allclose.py::test_allclose[1-False-dtype5-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype0-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype1-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype2-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype3-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype4-shape5] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape0] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape1] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape2] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape3] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape4] PASSED
test_allclose.py::test_allclose[1-True-dtype5-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype0-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype1-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype2-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype3-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype4-shape5] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape0] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape1] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape2] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape3] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape4] PASSED
test_allclose.py::test_allclose[2-False-dtype5-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype0-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype1-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype2-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype3-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype4-shape5] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape0] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape1] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape2] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape3] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape4] PASSED
test_allclose.py::test_allclose[2-True-dtype5-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype0-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype1-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype2-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype3-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype4-shape5] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape0] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape1] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape2] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape3] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape4] PASSED
test_allclose.py::test_allclose[3-False-dtype5-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype0-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype1-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype2-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype3-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype4-shape5] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape0] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape1] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape2] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape3] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape4] PASSED
test_allclose.py::test_allclose[3-True-dtype5-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype0-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype1-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype2-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype3-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype4-shape5] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape0] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape1] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape2] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape3] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape4] PASSED
test_allclose.py::test_allclose[4-False-dtype5-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype0-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype1-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype2-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype3-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype4-shape5] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape0] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape1] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape2] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape3] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape4] PASSED
test_allclose.py::test_allclose[4-True-dtype5-shape5] PASSED

==================== 360 passed, 50731 deselected in 21.51s ====================
