============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 50947 deselected / 144 selected

test_div.py::test_div_tensor_tensor[dtype0-shape0] PASSED
test_div.py::test_div_tensor_tensor[dtype0-shape1] PASSED
test_div.py::test_div_tensor_tensor[dtype0-shape2] PASSED
test_div.py::test_div_tensor_tensor[dtype0-shape3] PASSED
test_div.py::test_div_tensor_tensor[dtype0-shape4] PASSED
test_div.py::test_div_tensor_tensor[dtype0-shape5] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape0] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape1] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape2] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape3] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape4] PASSED
test_div.py::test_div_tensor_tensor[dtype1-shape5] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape0] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape1] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape2] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape3] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape4] PASSED
test_div.py::test_div_tensor_tensor[dtype2-shape5] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape0] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape1] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape2] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape3] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape4] PASSED
test_div.py::test_div_tensor_scalar[dtype0-0.001-shape5] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape0] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape1] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape2] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape3] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape4] PASSED
test_div.py::test_div_tensor_scalar[dtype0--0.999-shape5] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape0] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape1] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape2] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape3] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape4] PASSED
test_div.py::test_div_tensor_scalar[dtype0-100.001-shape5] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape0] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape1] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape2] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape3] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape4] PASSED
test_div.py::test_div_tensor_scalar[dtype0--111.999-shape5] PASSED
